Seznam a popis souborů BattBox.zip
BattBoxBatt.stl										Pouzdro baterie
BattBoxBattCover.stl							Víčko na pouzdro baterie
BattBoxBattCover_Rope.stl					Víčko na pouzdro baterie s možností přidělání provázku
BattBoxColar.stl									Límec
BattBoxJoint.stl									Spojka
BattBoxPCBCover.stl								Víčko na pouzdro desky
BattBoxPCBCover_LED.stl						Víčko na pouzdro desky s otvorem pro LED
BattBoxPCBCover_LED_Buzzer.stl		Víčko na pouzdro desky s otvorem pro LED a bzučák
BattBoxPCB_Ant.stl								Pouzdro desky s otvorem pro anténu
BattBoxPCB_Ant_RibsBellow.stl			Pouzdro desky s otvorem pro anténu, žebra dole
BattBoxPCB_Ant_RibsSide.stl				Pouzdro desky s otvorem pro anténu, žebra po stranách
BattBoxPCB_Ant_Switch.stl					Pouzdro desky s otvorem pro anténu a vypínač
BattBoxWireRedc_Colar.stl					Redukce pro drátovou anténu s použitým límcem
BattBoxWireRedc_NoColar.stl				Redukce pro drátovou anténu bez límce

